kernel,family,capacity_target,ccz_share,supply_pressure,imbalance,supply_ccz_share,uniform_mix_mismatch,uniform_waste,concurrency,decision_sites,stages,max_stage_width,serial_fraction,mean_variants_per_site,min_cross_resource_cost_ratio,families,headroom_over_best_simple,headroom_over_uniform,oracle_exhaustive,fails
heterostage_l3,heterostage,2.0,0.75,0.7243,2.4444,0.7097,0.0127,0.2904,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,2.0,0.9,0.7362,9.1667,0.9016,0.0984,0.2787,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.25,0.1,3.8824,1.8333,0.6471,0.1467,0.1902,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.25,0.25,3.8824,1.8333,0.6471,0.1467,0.1902,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.25,0.5,4.7143,3.6667,0.7858,0.008,0.0167,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.25,0.75,4.7143,3.6667,0.7858,0.008,0.0167,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.25,0.9,4.7143,3.6667,0.7858,0.008,0.0167,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.5,0.1,2.5385,1.3636,0.4232,0.0531,0.1095,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.5,0.25,3.3133,1.0909,0.4783,0.0753,0.143,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.5,0.5,3.8103,1.2222,0.5501,0.0035,0.0171,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.5,0.75,4.7143,3.6667,0.7858,0.008,0.0167,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,0.5,0.9,4.7143,3.6667,0.7858,0.008,0.0167,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,1.0,0.1,1.7999,2.7273,0.2683,0.0429,0.0966,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,1.0,0.25,1.5181,2.1818,0.3143,0.0558,0.1598,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0211,1,0
heterostage_l4,heterostage,1.0,0.5,1.9052,1.2222,0.55,0.0036,0.0474,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,1.0,0.75,2.129,2.4444,0.7097,0.0841,0.1285,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,1.0,0.9,1.8333,11.0,0.9167,0.0833,0.1152,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,2.0,0.1,0.9296,5.4545,0.155,0.0607,0.1602,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,2.0,0.25,0.9429,2.1818,0.3143,0.0558,0.1963,4,4,1,4,0.0,5.25,1.0,3,0.0134,0.0134,1,0
heterostage_l4,heterostage,2.0,0.5,1.1546,1.0,0.5,0.0536,0.145,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,2.0,0.75,1.0645,2.4444,0.7097,0.0841,0.1606,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
heterostage_l4,heterostage,2.0,0.9,1.082,9.1667,0.9016,0.0984,0.1536,4,4,1,4,0.0,5.25,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,0.25,0.1,1.1141,1.8333,0.6471,0.0499,0.2942,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
