lambda_A,lambda_C,lambda_B,policy,match_rate,match_rate_nontrivial,mean_regret,median_regret,p95_regret,mean_regret_nontrivial,median_regret_nontrivial,p95_regret_nontrivial
0.0,0.01,0.002,always_increase_B,0.9134615384615384,0.7469135802469136,0.03750595480095975,0.0,0.18789473684210534,0.11061256924225485,0.0,0.7173170731707317
0.0,0.01,0.002,always_increase_C,0.9945054945054945,0.9897119341563786,3.0219780219780246e-05,0.0,0.0,2.8806584362139944e-05,0.0,0.0
0.0,0.01,0.002,always_smooth,0.9100274725274725,0.7366255144032922,0.045423541305855304,0.0,0.25027397260273965,0.13433274609642756,0.0,0.8371428571428572
0.0,0.01,0.002,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.002,random,0.8241758241758241,0.5534979423868313,0.0625984437950432,0.0,0.3702439024390243,0.18131262737192805,0.0,0.8358536585365854
0.0,0.01,0.002,regime_aware,0.9622252747252747,0.8930041152263375,0.001479755221183864,0.0,0.0,0.00437144774083067,0.0,0.038000000000000034
0.0,0.01,0.005,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12097112691219829,0.0,0.6621621621621621,0.331976912884026,0.18301435406698563,0.9090243902439024
0.0,0.01,0.005,always_increase_B,0.9107142857142857,0.7386831275720165,0.04155952622953118,0.0,0.22809523809523813,0.12275660216406555,0.0,0.7773170731707317
0.0,0.01,0.005,always_increase_C,0.9979395604395604,1.0,2.060439560439562e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.005,always_smooth,0.9100274725274725,0.7366255144032922,0.045413925921239925,0.0,0.25027397260273965,0.13430393951206543,0.0,0.8371428571428572
