program,kernel,regime,rate,model,description,makespan,reference,regret,reference_exhaustive,prediction_error_mean,prediction_error_max,selected_best_candidate
mixed_w32_c16_l1,mixed,rate1,1.0,t_count_only,T-count and average supply rate,272,248,1.0968,1,0.0469,0.278,0
mixed_w32_c16_l1,mixed,rate2,2.0,deps_only,dependencies only (what T-depth sees),195,191,1.0209,1,0.3067,0.5436,0
mixed_w32_c16_l1,mixed,rate2,2.0,deps_plus_count,dependencies + T-count,238,191,1.2461,1,0.1375,0.3025,0
mixed_w32_c16_l1,mixed,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,191,191,1.0,1,0.0077,0.0596,1
mixed_w32_c16_l1,mixed,rate2,2.0,sccp,dependencies + arrival timing + buffer,191,191,1.0,1,0.0072,0.0468,1
mixed_w32_c16_l1,mixed,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,191,191,1.0,1,0.0071,0.0468,1
mixed_w32_c16_l1,mixed,rate2,2.0,t_count_only,T-count and average supply rate,261,191,1.3665,1,0.2255,0.6218,0
mixed_w32_c16_l1,mixed,rate4,4.0,deps_only,dependencies only (what T-depth sees),115,115,1.0,1,0.1108,0.2344,1
mixed_w32_c16_l1,mixed,rate4,4.0,deps_plus_count,dependencies + T-count,119,115,1.0348,1,0.105,0.2121,0
mixed_w32_c16_l1,mixed,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,115,115,1.0,1,0.0156,0.0781,0
mixed_w32_c16_l1,mixed,rate4,4.0,sccp,dependencies + arrival timing + buffer,115,115,1.0,1,0.0156,0.0781,0
mixed_w32_c16_l1,mixed,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,115,115,1.0,1,0.0156,0.0781,0
mixed_w32_c16_l1,mixed,rate4,4.0,t_count_only,T-count and average supply rate,261,115,2.2696,1,0.4464,0.7949,0
mixed_w32_c16_l1,mixed,rate8,8.0,deps_only,dependencies only (what T-depth sees),96,96,1.0,1,0.0526,0.1165,1
mixed_w32_c16_l1,mixed,rate8,8.0,deps_plus_count,dependencies + T-count,96,96,1.0,1,0.0526,0.1165,1
mixed_w32_c16_l1,mixed,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,96,96,1.0,1,0.0034,0.0182,1
mixed_w32_c16_l1,mixed,rate8,8.0,sccp,dependencies + arrival timing + buffer,96,96,1.0,1,0.0034,0.0182,1
mixed_w32_c16_l1,mixed,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,96,96,1.0,1,0.0034,0.0182,1
mixed_w32_c16_l1,mixed,rate8,8.0,t_count_only,T-count and average supply rate,261,96,2.7188,1,0.6691,0.8814,0
