program,kernel,concurrency,regime,rate,clifford_weight,num_candidates,t_depth_choice,best_choice,t_depth_makespan,t_count_makespan,best_makespan,regret_t_depth,regret_t_count,selection_reversal,pairs_compared,pairs_reversed,pair_reversal_rate,min_t_depth,best_candidate_t_depth,t_depth_ratio_of_best
modexp_w64_s2,modexp,1,rate0.2,0.2,1,7,blocked4x4,ripplex4,10008,5048,5048,1.9826,1.0,1,20,6,0.3,80,504,6.3
modexp_w64_s2,modexp,1,rate0.5,0.5,1,7,blocked4x4,ripplex4,4011,2027,2027,1.9788,1.0,1,20,6,0.3,80,504,6.3
modexp_w64_s2,modexp,1,rate1,1.0,1,7,blocked4x4,ripplex4,2012,1283,1283,1.5682,1.0,1,20,6,0.3,80,504,6.3
modexp_w64_s2,modexp,1,rate2,2.0,1,7,blocked4x4,blocked32x4,1012,1282,1012,1.0,1.2668,0,20,0,0.0,80,256,3.2
modexp_w64_s2,modexp,1,rate4,4.0,1,7,blocked4x4,blocked8x4,512,1282,512,1.0,2.5039,0,20,2,0.1,80,96,1.2
modexp_w64_s2,modexp,1,rate8,8.0,1,7,blocked4x4,blocked8x4,292,1282,288,1.0139,4.4514,1,20,3,0.15,80,96,1.2
modexp_w64_s2,modexp,1,unconstrained,1008.0,1,7,blocked4x4,blocked4x4,244,1276,244,1.0,5.2295,0,20,1,0.05,80,80,1.0
modexp_w64_s2,modexp,1,rate0.1,0.1,0,7,blocked4x4,ripplex4,20000,10080,10080,1.9841,1.0,1,20,6,0.3,80,504,6.3
modexp_w64_s2,modexp,1,rate0.2,0.2,0,7,blocked4x4,ripplex4,10005,5045,5045,1.9832,1.0,1,20,6,0.3,80,504,6.3
modexp_w64_s2,modexp,1,rate0.5,0.5,0,7,blocked4x4,ripplex4,4008,2024,2024,1.9802,1.0,1,20,6,0.3,80,504,6.3
modexp_w64_s2,modexp,1,rate1,1.0,0,7,blocked4x4,ripplex4,2009,1017,1017,1.9754,1.0,1,20,6,0.3,80,504,6.3
modexp_w64_s2,modexp,1,rate2,2.0,0,7,blocked4x4,ripplex4,1009,513,513,1.9669,1.0,1,20,6,0.3,80,504,6.3
modexp_w64_s2,modexp,1,rate4,4.0,0,7,blocked4x4,blocked32x4,509,513,509,1.0,1.0079,0,20,0,0.0,80,256,3.2
modexp_w64_s2,modexp,1,rate8,8.0,0,7,blocked4x4,blocked16x4,259,513,259,1.0,1.9807,0,20,2,0.1,80,144,1.8
modexp_w64_s2,modexp,1,unconstrained,1008.0,0,7,blocked4x4,blocked4x4,80,504,80,1.0,6.3,0,20,0,0.0,80,80,1.0
reduction_tree_mult_w64_r4,multiplier,2,rate0.1,0.1,1,7,blocked4x3,ripplex3,15003,7563,7563,1.9837,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate0.2,0.2,1,7,blocked4x3,ripplex3,7508,3788,3788,1.982,1.0,1,20,6,0.3,40,252,6.3
