program,kernel,concurrency,decision_sites,assignment_space,regime,rate,buffer,reference,reference_exhaustive,reference_heterogeneous,makespan_min_t_count,makespan_min_t_depth,makespan_best_static,makespan_legacy_smooth,makespan_local_resource_greedy,makespan_share_aware_greedy,makespan_best_uniform,makespan_resource_aware,regret_min_t_count,regret_min_t_depth,regret_best_static,regret_legacy_smooth,regret_local_resource_greedy,regret_share_aware_greedy,regret_best_uniform,regret_resource_aware,strongest_baseline,strongest_baseline_makespan,headroom_available,headroom_captured,ours_heterogeneous,ours_profile,ours_cost_evaluations,ours_ancillas,best_static_ancillas,ours_overflow,ours_stalls
oracle_bank_c32_l4,oracle_bank,4,4,16,rate0.2,0.2,32,2488,1,0,2488,2488,2488,2488,2488,2488,2488,2488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,2488,0,,0,treex4,15,192,192,0,2480
oracle_bank_c32_l4,oracle_bank,4,4,16,rate0.5,0.5,32,1003,1,0,1003,1003,1003,1003,1003,1003,1003,1003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,1003,0,,0,treex4,15,192,192,0,995
oracle_bank_c32_l4,oracle_bank,4,4,16,rate1,1.0,32,508,1,0,508,508,508,508,508,508,508,508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,508,0,,0,treex4,15,192,192,0,500
oracle_bank_c32_l4,oracle_bank,4,4,16,rate2,2.0,32,260,1,0,260,260,260,260,260,260,260,260,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,260,0,,0,treex4,15,192,192,0,252
oracle_bank_c32_l4,oracle_bank,4,4,16,rate4,4.0,32,138,1,0,138,138,138,138,138,138,138,138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,138,0,,0,treex4,15,192,192,0,124
oracle_bank_c32_l4,oracle_bank,4,4,16,rate8,8.0,32,80,1,0,80,80,80,80,80,80,80,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,80,0,,0,treex4,15,192,192,48,60
oracle_bank_c8_l4,oracle_bank,4,4,16,rate0.1,0.1,32,1123,1,0,1123,1123,1123,1123,1123,1123,1123,1123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,1123,0,,0,treex4,15,48,48,0,1115
oracle_bank_c8_l4,oracle_bank,4,4,16,rate0.2,0.2,32,568,1,0,568,568,568,568,568,568,568,568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,568,0,,0,treex4,15,48,48,0,560
oracle_bank_c8_l4,oracle_bank,4,4,16,rate0.5,0.5,32,235,1,0,235,235,235,235,235,235,235,235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,235,0,,0,treex4,15,48,48,0,227
oracle_bank_c8_l4,oracle_bank,4,4,16,rate1,1.0,32,124,1,0,124,124,124,124,124,124,124,124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,124,0,,0,treex4,15,48,48,0,116
oracle_bank_c8_l4,oracle_bank,4,4,16,rate2,2.0,32,68,1,0,68,68,68,68,68,68,68,68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,68,0,,0,treex4,15,48,48,0,60
oracle_bank_c8_l4,oracle_bank,4,4,16,rate4,4.0,32,42,1,0,42,42,42,42,42,42,42,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,42,0,,0,treex4,15,48,48,0,28
oracle_bank_c8_l4,oracle_bank,4,4,16,rate8,8.0,32,32,1,0,32,32,32,32,32,32,32,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,32,0,,0,treex4,15,48,48,48,12
qft_q5_t32,qft,4,10,9765625,rate0.1,0.1,32,3202,0,0,3202,6402,3202,6402,3202,3202,3202,3202,1.0,1.9994,1.0,1.9994,1.0,1.0,1.0,1.0,min_t_count,3202,0,,0,width1x10,163,0,0,0,3116
qft_q5_t32,qft,4,10,9765625,rate0.2,0.2,32,1607,0,0,1607,3207,1607,3207,1607,1607,1607,1607,1.0,1.9956,1.0,1.9956,1.0,1.0,1.0,1.0,min_t_count,1607,0,,0,width1x10,163,0,0,0,1521
qft_q5_t32,qft,4,10,9765625,rate0.5,0.5,32,654,0,0,654,1290,654,1290,654,654,654,654,1.0,1.9725,1.0,1.9725,1.0,1.0,1.0,1.0,min_t_count,654,0,,0,width1x10,163,0,0,0,562
qft_q5_t32,qft,4,10,9765625,rate1,1.0,32,347,0,1,371,651,371,651,415,347,371,347,1.0692,1.8761,1.0692,1.8761,1.196,1.0,1.0692,1.0,share_aware_greedy,347,0,,1,"width1x9,width2x1",243,2,0,0,214
