key,code,d,n,code_k,p,p_ebit,ratio,strategy,k,rounds,ebit_pairs,teleports,time_rounds,detectors,shots,errors,ler,ci_low,ci_high,batches,hit_shot_limit,seconds,decoder,tmcbs_commit
SC5|p=0.001|r=10|R|k=2|rounds=0,SC5,5,25,1,0.001,0.01,10,R,2,0,50,0,10,264,130711,202,0.0015453940372271652,0.0011758765520881946,0.001985066291283825,4,False,185.31,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=1|R|k=2|rounds=0,SC5,5,25,1,0.002,0.002,1,R,2,0,50,0,10,264,43236,235,0.005435285410306226,0.004224257563141826,0.0068567860116569524,2,False,121.23,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=3|R|k=2|rounds=0,SC5,5,25,1,0.001,0.003,3,R,2,0,50,0,10,264,244776,208,0.0008497565120763474,0.0006492058044906364,0.0010878517501715854,6,False,278.03,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=10|R|k=2|rounds=0,SC5,5,25,1,0.002,0.02,10,R,2,0,50,0,10,264,20201,207,0.010247017474382456,0.007832285530419286,0.013108261967229346,4,False,80.19,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|R|k=2|rounds=0,SC5,5,25,1,0.001,0.001,1,R,2,0,50,0,10,264,283743,207,0.0007295334158023282,0.0005569829035429949,0.00093447239227047,7,False,304.4,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=30|R|k=2|rounds=0,SC5,5,25,1,0.002,0.06,30,R,2,0,50,0,10,264,6556,267,0.04072605247101892,0.03229103111653447,0.050449969493593656,2,False,40.94,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=3|R|k=2|rounds=0,SC5,5,25,1,0.002,0.006,3,R,2,0,50,0,10,264,39600,275,0.006944444444444444,0.0055060606060606055,0.008612121212121213,2,False,122.11,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=1|MEM|k=0|rounds=0,SC7,7,49,1,0.001,0.001,1,MEM,0,0,0,0,4,240,300000,5,1.6666666666666667e-05,1.7e-06,6.143333333333333e-05,10,True,40.47,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=10|MEM|k=0|rounds=0,SC7,7,49,1,0.001,0.01,10,MEM,0,0,0,0,4,240,300000,7,2.3333333333333332e-05,3.7666666666666665e-06,7.296666666666667e-05,8,True,40.87,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=1|R|k=1|rounds=0,SC7,7,49,1,0.001,0.001,1,R,1,0,49,0,7,384,200000,13,6.5e-05,1.875e-05,0.00015675000000000002,6,True,155.41,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=10|R|k=1|rounds=0,SC7,7,49,1,0.001,0.01,10,R,1,0,49,0,7,384,200000,28,0.00014,6.32e-05,0.00026260000000000004,7,True,191.12,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=1|MEM|k=0|rounds=12,SC7,7,49,1,0.001,0.001,1,MEM,0,12,0,0,16,816,300000,21,7e-05,2.7433333333333334e-05,0.00014306666666666668,10,True,299.39,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=10|MEM|k=0|rounds=12,SC7,7,49,1,0.001,0.01,10,MEM,0,12,0,0,16,816,300000,20,6.666666666666667e-05,2.5433333333333333e-05,0.00013836666666666665,9,True,302.04,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=1|T|k=8|rounds=0,SC3,3,9,1,0.001,0.001,1,T,8,0,9,1,31,288,27028,512,0.01894331804055054,0.016023383158206304,0.022191061121799614,2,False,496.48,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=3|T|k=8|rounds=0,SC3,3,9,1,0.001,0.003,3,T,8,0,9,1,31,288,24215,452,0.01866611604377452,0.015614288664051209,0.022083832335329342,2,False,477.39,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=30|T|k=8|rounds=0,SC3,3,9,1,0.001,0.03,30,T,8,0,9,1,31,288,15871,488,0.03074790498393296,0.025924012349568395,0.036116186755717976,2,False,426.49,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=10|T|k=8|rounds=0,SC3,3,9,1,0.001,0.01,10,T,8,0,9,1,31,288,21925,465,0.02120866590649943,0.017790649942987458,0.025028506271379702,2,False,475.64,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=30|T|k=8|rounds=0,SC3,3,9,1,0.002,0.06,30,T,8,0,9,1,31,288,4085,416,0.1018359853121175,0.08514810281517747,0.12031823745410036,2,False,468.05,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=1|T|k=8|rounds=0,SC3,3,9,1,0.002,0.002,1,T,8,0,9,1,31,288,6928,491,0.07087182448036952,0.059981235565819864,0.08290271362586606,2,False,617.13,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=3|T|k=8|rounds=0,SC3,3,9,1,0.002,0.006,3,T,8,0,9,1,31,288,6658,505,0.07584860318413938,0.064373685791529,0.08849654550916192,2,False,589.2,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=10|T|k=8|rounds=0,SC3,3,9,1,0.002,0.02,10,T,8,0,9,1,31,288,5714,475,0.08312915645782289,0.0702257612880644,0.09737486874343716,2,False,607.91,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.003|r=1|T|k=8|rounds=0,SC3,3,9,1,0.003,0.003,1,T,8,0,9,1,31,288,3000,441,0.147,0.12406666666666666,0.17209666666666665,2,False,701.5,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=1|MEM|k=0|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.001,1,MEM,0,0,0,0,4,90,22457,306,0.013626040878122634,0.01094669813421205,0.01670392305294563,2,False,9.36,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=1|MEM|k=0|rounds=12","[[18,4,4]] BB",4,18,4,0.001,0.001,1,MEM,0,12,0,0,16,306,3885,222,0.05714285714285714,0.04434234234234234,0.07204118404118404,2,False,8.38,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=10|MEM|k=0|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.01,10,MEM,0,0,0,0,4,90,20469,294,0.014363183350432362,0.011487126874786261,0.017675997850407934,2,False,8.63,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=10|MEM|k=0|rounds=12","[[18,4,4]] BB",4,18,4,0.001,0.01,10,MEM,0,12,0,0,16,306,3924,214,0.0545361875637105,0.042097349643221205,0.06906218144750255,2,False,8.27,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.003|r=30|T|k=8|rounds=0,SC3,3,9,1,0.003,0.09,30,T,8,0,9,1,31,288,2000,413,0.2065,0.17425,0.24145,1,False,653.72,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
