workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown,Delta_max,L_backlog,static_depth_penalty,Delta_reduction_vs_static,Texe_reduction_vs_static,Delta_reduction_vs_smooth,Texe_reduction_vs_smooth,Delta_reduction_vs_ca,Texe_reduction_vs_ca
constructed_medium,medium_compressibility,0,24,capacity_aware,5,12,75,75,0,1.0,0,0,1.0273972602739727,0.0,-0.0273972602739726,0.0,-0.0273972602739726,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,5,12,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,delivery_aware,5,12,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_low,low_compressibility,0,24,static,1,0,110,110,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_low,low_compressibility,0,24,capacity_aware,1,0,110,110,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_low,low_compressibility,0,24,smooth,1,0,110,110,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_low,low_compressibility,0,24,delivery_aware,1,0,110,110,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_low,low_compressibility,0,24,static,1,4,110,110,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_low,low_compressibility,0,24,capacity_aware,1,4,110,110,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_low,low_compressibility,0,24,smooth,1,4,110,110,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_low,low_compressibility,0,24,delivery_aware,1,4,110,110,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_low,low_compressibility,0,24,static,1,8,110,110,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
